Comment appelle-t-on les pierres qui semblent suspendues au plafond dans les grottes ? ,A Des stalacgouttes ,B Des stalagmites ,C Des stalactites ,c
Le charbon est utilise comme combustible. Il s-est forme il y a des millions d-annees a partir de : ,A vestiges de volcans ,B restes d-arbres et de plantes ,C sable ,a
Les arbres et les plantes vertes purifient l-air grâce au processus de la photosynthese qui se deroule : ,A le jour ,B le jour et la nuit ,C la nuit ,b
Les champignons comptent plus de 50 000 especes. Combien d-especes sont comestibles ? ,A Quelques dizaines ,B Quelques centaines ,C Quelques milliers ,c
Chaque phare a une particularite qui permet aux navigateurs de savoir où il est. Laquelle ? ,A Les impulsions lumineuses ,B La hauteur ,C La couleur du phare ,a
a quoi servent les vagues ? ,A a entrainer l-eau horizontalement avec elles. ,B a melanger l-eau. ,C a faire bouger l-eau selon un mouvement circulaire ,b
L-oignon se compose d-un noyau entoure de peaux de plus en plus epaisses. On appelle ces peaux : ,A les pelures ,B les gousses ,C les robes ,c
Lors des gros ouragans le vent peut atteindre une vitesse de : ,A 1 km/h ,B 300 km/h ,C 900 km/h ,a
On cultive une herbe destinee a être transformee. Laquelle ? ,A Le thym ,B La lavande ,C La menthe ,b
Comment appelle-t-on une montagne qui crache du feu ? ,A Un volcan ,B Une meteorite ,C Une avalanche ,c
Les eponges que nous utilisons ont ete colorees mais a l-origine elles viennent de la mer. Ces eponges sont en realite : ,A des plantes ,B des animaux ,C des pierres ,a
Avant qu-une tomate devienne rouge de quelle couleur est-elle ? ,A Vert ,B Blanc ,C Brun ,b
De quelle sorte de poisson viennent les œufs appeles « caviar » ? ,A L-esturgeon ,B Le brochet ,C Le saumon ,c
En Afrique lequel des produits suivants est fabrique a base de bananes ? ,A La biere ,B Le vin ,C Le whisky ,a
Les plantes qui survivent en s-attachant a une autre plante dont elles tirent leur nourriture s-appellent : ,A des parasites ,B du plancton ,C des profiteuses ,b
Qu-est-ce qu-un geyser ? ,A Une source dont jaillit de l-eau chaude ,B Un volcan ,C Une grotte souterraine ,c
nature ,,,,a
L-ocean Pacifique est l-ocean le plus grand mais egalement le plus profond du monde. Quelle est sa profondeur maximale ? ,A 11 km ,B 7 km ,C 2 km ,b
Le bambou appartient a la famille des : ,A Graminees ,B buissons ,C arbres ,c
L-arc-en-ciel comporte 7 couleurs. Laquelle n-y est pas presente ? ,A Rouge ,B Orange ,C Noir ,a
Une grande partie de la surface terrestre est recouverte d-eau. Le plus grand de tous les oceans est : ,A L-ocean Atlantique ,B L-ocean Indien ,C L-ocean Pacifique ,b
De quelle substance sont formees les perles produites par les huitres ? ,A De nacre ,B D-opaline ,C D-ambre ,c
Qu-est-ce qu-un meandre ? ,A Une grande sinuosite d-une riviere ou d-un fleuve ,B Un ancêtre de l-homme ,C Un outil pour ebenistes ,a
Le trou de la couche d-ozone est cause par : ,A les pluies acides sur la Terre. ,B le gaz a effet de serre sur la Terre. ,C le smog sur la Terre. ,b
Quelle est la temperature de l-eau de mer a 2 000 metres de profondeur ? ,A 2 °C ,B 8 °C ,C 12 °C ,c
Comment se nomme le vent violent qui souffle souvent sur la côte du Sud de la France ? ,A Le mistral ,B Le sirocco ,C La bora ,a
Si l-on coupe l-eventail de feuilles d-un palmier : ,A On obtient des branches sur lesquelles de nouvelles feuilles repoussent. ,B Un nouvel eventail de feuilles repousse mais sans fruit. ,C Le palmier meurt. ,b
Quel autre nom donne-t-on au germe contenu dans une graine ? ,A La plantule ,B Le cotyledon ,C Le tegument ,c
Un endroit où les animaux et les plantes vivent s-appelle : ,A une succession ,B un habitat ,C une faune ,a
Qu-est-ce qui cree(nt) les vagues dans la mer ? ,A Le vent ,B Les brise-lames ,C Les bateaux ,b
Le stigmate d-une certaine variete de crocus donne : ,A du safran ,B de la cannelle ,C de l-anis ,c
Quelles sont les plantes qui n-ont pas de spores ? ,A Les anemones des bois ,B Les fougeres ,C Les champignons ,a
Le cafe vient d-une plante mais quelle partie de la plante est utilisee pour faire du cafe ? ,A Les grains de cafe ,B Les feuilles de cafe ,C La tige de cafe ,b
nature ,,,,c
Avec quoi est fait le popcorn que nous mangeons en general ? ,A Du maïs ,B Des haricots ,C Du riz ,a
Combien de volcans sont en activite a la surface de la Terre ? ,A 200 volcans ,B 300 volcans ,C 600 volcans ,b
Avec quels fruits fait-on de l-huile utilisee pour preparer des plats ? ,A Des olives ,B Des figues ,C Des dattes ,c
Si nous ouvrons le bulbe de la plante d-ail nous voyons qu-il est compose de plusieurs petites parties que l-on appelle les : ,A gousses ,B tubercules ,C clous ,a
Il existe de nombreuses varietes d-orchidees mais elles possedent toutes les mêmes caracteristiques notamment : ,A 4 petales et 4 sepales ,B les etamines et le style soude ,C l-absence de petales ,b
Que recolte-t-on a Guerande ? ,A Du riz ,B Des algues ,C Du sel ,c
Le vin est fabrique avec du raisin. Le vin rose s-obtient : ,A en utilisant du raison noir sans les peaux ,B en melangeant du raisin noir et du raisin blanc ,C en faisant fermenter les peaux en même temps que le jus de 356,a
 Le whisky est une boisson alcoolisee faite a base de : ,A baies ,B differents types de grains ,C raisin ,b
Certaines plantes aromatiques sont cultivees surtout pour leurs racines. Parmi ces plantes quelle est celle dont on n-utilise pas les racines ? ,A Le raifort ,B Le gingembre ,C La cannelle ,c
Les vents de tempête chassent le sable a travers le desert en : ,A mouvements ondoyants ,B courants verticaux ,C tourbillons ,a
Que sont les grains de cafe ? ,A Les graines de la cerise du cafeier ,B Les fruits du cafeier ,C Les bourgeons du ,b
La roche dure et noire qui provient d-un volcan est du : ,A granite ,B charbon ,C basalte ,c
Il existe plusieurs types de chutes d-eau. Parmi les suivants lequel n-existe pas ? ,A La chute d-eau en escalier ,B La chute d-eau a nuages ,C La cascade ,a
Quel arbre a encore un feuillage vert en hiver ? ,A Le pin ,B Le marronnier ,C L-orme ,b
Le coton est une matiere utilisee pour confectionner des vêtements. Le coton est : ,A une matiere synthetique ,B tire d-un animal ,C tire d-une plante ,c
L-orge n-entre pas dans la composition : ,A du pain français ,B de la biere ,C des aliments pour le betail ,a
nature ,,,,b
Les agates sont des pierres semiprecieuses de differentes couleurs. Les agates : ,A sont des coquillages fossiles ,B proviennent de cristaux du desert fondus ,C se trouvent dans les trous naturels des roches 429,c
 Quelle est la couleur la plus externe d-un arc-en-ciel ? ,A Rouge ,B Jaune ,C Violet ,a
L-artichaut se mange comme un legume. De cette plante nous mangeons : ,A La fleur entiere ,B Le fond de la fleur et le pied des petales ,C Les petales entiers ,b
La pomme de terre appartient a la famille des solanacees. Parmi ces legumes lequel appartient aussi a cette famille ? ,A Le maïs ,B La tomate ,C La carotte ,c
Combien d-especes de champignons existe-t-il sur Terre ? ,A 10 000 ,B 20 000 ,C Plus de 50 000 ,a
Laquelle des orties suivantes pique quand on la touche ? ,A L-ortie verte ,B L-ortie blanche ,C L-ortie mauve ,b
Lorsqu-un glacier descend des montagnes il entraine avec lui des morceaux detaches des sommets. Ces debris portent le nom de : ,A auges ,B moraines ,C cirques ,c
La plus grave eruption volcanique connue a eu lieu en 1883 en Indonesie. L-eruption du Krakatau a pu être entendue a une distance de : ,A 5 000 km ,B 1 000 km ,C 300 km ,a
De longues chaines de montagnes sous-marines occupent le fond des oceans. Comment les appelle-t-on ? ,A Montagne oceanique ,B Dorsale oceanique ,C Tour oceanique ,b
Dans quel endroit ne trouvet-on aucun insecte ? ,A Dans les grottes profondes ,B Dans l-eau salee des oceans ,C Sur les hauts sommets enneiges des 493,c
 Dans l-hemisphere Nord le jour le plus long de l-annee est le : ,A 21 mars ,B 21 juin ,C 21 septembre ,a
a la surface des eaux stagnantes d-un lac un tapis vert de plantes aquatiques peut apparaitre. Il est forme de : ,A lentilles d-eau ,B pâturage ,C verdure de grenouilles ,b
Il existe plusieurs types de chutes d-eau. Parmi les suivants lequel n-existe pas ? ,A La chute d-eau en escalier ,B La chute d-eau a nuages ,C La cascade ,c
Quel arbre a encore un feuillage vert en hiver ? ,A Le pin ,B Le marronnier ,C L-orme ,a
Le coton est une matiere utilisee pour confectionner des vêtements. Le coton est : ,A une matiere synthetique ,B tire d-un animal ,C tire d-une plante ,b
L-orge n-entre pas dans la composition : ,A du pain français ,B de la biere ,C des aliments pour le betail ,c
science ,,,,a
Quels globules n-existent pas dans le corps humain ? ,A Les globules rouges ,B Les globules blancs ,C Les globules violets ,b
Que fait le niveau de la mer lorsque la Terre se rechauffe ? ,A Il monte. ,B Il baisse. ,C Il reste identique. ,c
De nombreux produits sont en cuir mais d-où vient ce cuir ? ,A De la peau des animaux ,B Du petrole ,C De l-ecorce de ,a
Dans quel organe du corps humain l-urine est-elle formee ? ,A Le rein ,B L-estomac ,C L-intestin ,b
Un four a micro-ondes rechauffe la nourriture : ,A en faisant vibrer les molecules d-eau de la nourriture. ,B en faisant vibrer tres vite la nourriture. ,C en produisant de la chaleur. ,c
Le cœur humain se trouve dans la poitrine. Mais de quel côte ? ,A a gauche ,B Au milieu ,C a droite ,a
Avec quel instrument un medecin ecoute-t-il le rythme cardiaque ? ,A Un stethoscope ,B Un periscope ,C Un cyclope ,b
Combien de litres d-eau faut-il pour produire 1 tonne de papier ? ,A 40 000 litres ,B 4 000 litres ,C 400 litres ,c
Quel materiau ne fait pas partie de la famille des carbones ? ,A Le diamant ,B L-asphalte ,C La suie ,a
Comment appelle-t-on la dentition des enfants ? ,A Dents de lait ,B Dents d-eau ,C Dents de beurre ,b
Sur quelle echelle est exprimee l-intensite des tremblements de terre ? ,A L-echelle de Richter ,B L-echelle de Trilling ,C L-echelle de Beaufort ,c
Combien de temps met la lumiere pour aller de la Lune a la Terre ? ,A 1 seconde ,B 30 secondes ,C 1 minute ,a
Dans notre corps le sang est « nettoye » des dechets avant de refluer vers le cœur. Ce phenomene se passe au niveau : ,A du pancreas ,B du foie ,C des reins ,b
Lequel des os suivants ne se trouve pas dans notre bras ? ,A La clavicule ,B Le cubitus ,C Le radius ,c
Qui le daltonisme touche-t-il le plus souvent ? ,A Des hommes ,B Des femmes ,C Tant les hommes que les ,a
L-unite de mesure du poids des pierres precieuses est le : ,A milligramme ,B carat ,C grain ,b
science ,,,,c
Quelle science etudie les atomes et les molecules ? ,A La chimie ,B La physique ,C La biologie ,a
La force d-attraction de la Lune est responsable sur la Terre : ,A des 4 saisons ,B du flux et du reflux des marees ,C des variations de ,b
Lorsque toutes les dents definitives sont sorties la dentition d-un adulte compte : ,A 28 dents ,B 32 dents ,C 36 dents ,c
Combien d-os constituent le squelette d-un homme ou d-une femme adulte ? ,A 412 os ,B 350 os ,C 206 os ,a
Quel est le point d-ebullition de l-eau ? ,A 100 °C ,B 0 °C ,C 1 000 °C ,b
Lorsque nous eternuons l-air sort tres vite de notre nez mais a quelle vitesse ? ,A 100 km/h ,B 10 km/h ,C 50 km/h ,c
Si on compare le squelette d-un bebe et celui d-un adulte qu-y a-til de special ? ,A Un bebe a plus d-os qu-un adulte. ,B Un adulte a plus d-os qu-un bebe. ,C Un adulte a autant d-os qu-un bebe 138,a
 Combien de sang comprend le corps adulte ? ,A Environ 5 litres ,B Environ 10 litres ,C Environ 15 litres ,b
Un microscope permet de voir les objets agrandis jusqu-a : ,A 50 fois ,B 200 fois ,C 2 500 fois ,c
Combien de fois par jour la grande aiguille d-une horloge indique-t-elle le chiffre « 4 » ? ,A 24 fois ,B 12 fois ,C 2 fois ,a
Laquelle des pierres suivantes flotte sur l-eau ? ,A La pierre ponce ,B La craie ,C L-ardoise ,b
Que met-on dans une piscine pour la desinfecter ? ,A Du chlore ,B De l-adoucissant ,C De la soude caustique ,c
Combien de fois par jour inspirons-nous ? ,A 20 000 fois ,B 200 000 fois ,C 2 000 fois ,a
Combien de semaines vit normalement un bebe dans le ventre de sa mere ? ,A 41 semaines ,B 52 semaines ,C 35 semaines ,b
Le scaphandre des astronautes est blanc pour être bien visible sur le fond noir de l-espace mais aussi pour une autre raison. Laquelle ? ,A Pour absorber moins de lumiere solaire. ,B Pour absorber plus de lumiere solaire. ,C Pour être plus leger. ,c
Par quelle unite de mesure estime-t-on la valeur d-un diamant ? ,A Le carat ,B Le varat ,C Le barat ,a
science ,,,,b
Les gouttes de rosee que l-on voit le matin s-expliquent par l-humidite qui se depose sur ces plantes la nuit : ,A parce que ces plantes rejettent de l-humidite ,B a cause de l-humidite qui monte de la terre ,C parce que le sol etait plus froid que l-air chaud 195,c
 Combien de temps dort-on sur toute notre vie ? ,A 1 tiers de notre vie ,B 1 cinquieme de notre vie ,C 1 dixieme de notre vie ,a
Lorsque nous decoupons des oignons que peut-il se passer ? ,A Nos yeux commencent a pleurer. ,B Notre nez commence a couler. ,C Notre bouche devient seche. ,b
Les scientifiques travaillent sur le materiel genetique de certaines plantes pour en ameliorer la croissance et la production. C-est ce qu-on appelle : ,A La manipulation genetique ,B L-irradiation cancerigene ,C La division cellulaire ,c
Le medecin peut prendre une sorte de photo d-un fœtus a l-aide d-un appareil qui fonctionne par : ,A ultrasons qui ne peuvent être entendus par les hommes ,B ondes electromagnetiques ,C ondes optiques ,a
Si on sciait un os de notre squelette que verrionsnous a l-interieur ? ,A Un trou ,B Un liquide aqueux ,C Des vaisseaux sanguins ,b
Combien y a-t-il de quarts d-heure dans une journee ? ,A 96 ,B 24 ,C 162 ,c
Le Soleil nous donne beaucoup de lumiere et de chaleur mais de quoi est fait le Soleil ? ,A De gaz chauds ,B De liquides ferreux ,C De pierres chaudes ,a
Qu-est-ce qu-un tsunami ? ,A Un ouragan ,B Un cyclone ,C Un raz de maree ,b
Les substances utilisees dans les medicaments contre certaines maladies cardiaques sont tirees des feuilles d-une plante toxique. Quel est son nom ? ,A La principale ,B La minerale ,C La digitale ,c
Lors d-une eclipse de Soleil le Soleil la Lune et la Terre sont alignes. Quelle est la position correcte pour qu-il y ait une eclipse de Soleil ? ,A Le Soleil est entre la Lune et la Terre. ,B La Lune est entre le Soleil et la Terre. ,C La Terre est entre le Soleil et la Lune. ,a
Quelle couleur obtient-on lorsqu-on melange autant de bleu que de jaune ? ,A Du vert ,B Du mauve ,C Du brun ,b
Avec quel type de photos peut-on photographier le squelette de l-homme ? ,A Des radiographies ,B Des photos numeriques ,C Des photos Polaroïd ,c
Si on laisse pousser ses cheveux pendant un an de combien de centimetres grandiront-ils environ ? ,A 12 cm ,B 24 cm ,C 6 cm ,a
Le Soleil est en realite une etoile composee d-environ ¾ : ,A d-hydrogene ,B d-helium ,C d-azote ,b
Le poids des muscles du corps s-eleve a : ,A 10 % du poids total ,B 25 % du poids total ,C 50 % du poids total ,c
science ,,,,a
Que sont Io Europe Ganymede Callisto ? ,A Des satellites de Jupiter ,B Des volcans sur Jupiter ,C Des cyclones qui ont frappe ,b
Les flocons de neige sont des cristaux de glace qui se soudent a 0 °C Un cristal de glace : ,A a l-aspect d-un hexagone,,,c
 ,B peut avoir n-importe quelle forme ,C est une etoile a 6 branches ,,a
La creme solaire doit proteger notre peau contre les : ,A rayons ultraviolets ,B rayons infrarouges ,C rayons fluorescents ,b
En raison de l-arrondi de la Terre nous ne pouvons pas voir a l-infini. Quelle est la plus grande distance a laquelle nous pouvons voir ? ,A 12 km ,B 52 km ,C 112 km ,c
Quel four utilisons-nous pour rechauffer tres rapidement des aliments ? ,A Un four a micro-ondes ,B Un four a catalyse ,C Un four a chaux ,a
Quelle substance est contenue dans les thermometres pour indiquer la temperature ? ,A Du mercure ,B Du calcaire ,C De l-eau salee ,b
Quelle partie de notre oreille transmet les vibrations de l-air pour que nous puissions entendre ? ,A Le tympan ,B Le tambour ,C Le tampon ,c
Le vent est un deplacement d-air. L-air froid a tendance a : ,A descendre ,B monter ,C ne pas bouger ,a
Avec quel terme exprimonsnous le volume de son ? ,A Decibels ,B Centibels ,C Millebels ,b
La temperature qui regne a la surface du Soleil est d-environ : ,A 5 000 °C ,B 10 000 °C ,C 15 000 °C ,c
Combien de faces ont deux cubes ensemble ? ,A 12 ,B 6 ,C 10 ,a
De quelle substance se compose notre corps en majeure partie ? ,A D-eau ,B De graisse ,C De sang ,b
Avec quoi peut-on generer de l-electricite grâce a la lumiere du Soleil ? ,A Des panneaux solaires ,B Des panneaux de lumiere ,C Des accumulateurs d-energie ,c
Comment se forment les crateres sur la Lune ? ,A Par des rochers cosmiques qui tombent sur la surface ,B Par le vent qui souffle en tournoyant ,C Par la sortie de lave venant du centre de la 400,a
 Quel muscle avons-nous tous dans la partie superieure du bras ? ,A Le biceps ,B Le triceps ,C Le quadriceps ,b
Quel nom porte la maladie qui se manifeste sous forme de crises violentes avec des convulsions ? ,A L-epilepsie ,B La narcolepsie ,C L-ostealgie ,c
science ,,,,a
Dans quelle partie de notre corps se trouve notre organe de l-equilibre ? ,A L-oreille ,B Le nez ,C La bouche ,b
Que produit-on dans une centrale nucleaire ? ,A De l-energie ,B Du petrole ,C De l-eau ,c
Comment s-appelle le petit appareil qui permet de faire fonctionner la lampe d-un velo ? ,A La dynamo ,B Le transfo ,C L-electro ,a
Laïka etait le premier animal qui a fait le tour de la Terre dans un engin spatial. Quel animal etait Laïka ? ,A Un chien ,B Un singe ,C Un lapin ,b
Avec quel appareil peut-on renforcer sa voix de maniere a pouvoir s-adresser a un grand nombre de personnes ? ,A Un megaphone ,B Un talkie-walkie ,C Un microscope ,c
Combien pese le squelette d-un adulte ? ,A 10 kg ,B 20 kg ,C 15 kg ,a
Lorsqu-on rit on utilise : ,A 1 muscle ,B 17 muscles ,C 48 muscles ,b
Comment s-appelle un materiau qui n-est pas conducteur d-electricite ? ,A Un ion ,B Un electrolyte ,C Un isolant ,c
Quel nom donne-t-on a une personne qui donne son sang ? ,A Donneur ,B Donateur ,C Donataire ,a
Comment appelle-t-on la partie de la Terre habitee par des êtres vivants ? ,A La biosphere ,B L-atmosphere ,C La stratosphere ,b
Combien de faces ont deux cubes ensemble ? ,A 12 ,B 6 ,C 10 ,c
De quelle substance se compose notre corps en majeure partie ? ,A D-eau ,B De graisse ,C De sang ,a
Avec quoi peut-on generer de l-electricite grâce a la lumiere du Soleil ? ,A Des panneaux solaires ,B Des panneaux de lumiere ,C Des accumulateurs d-energie ,b
Comment se forment les crateres sur la Lune ? ,A Par des rochers cosmiques qui tombent sur la surface ,B Par le vent qui souffle en tournoyant ,C Par la sortie de lave venant du centre de la 400,c
 Quel muscle avons-nous tous dans la partie superieure du bras ? ,A Le biceps ,B Le triceps ,C Le quadriceps ,a
Quel nom porte la maladie qui se manifeste sous forme de crises violentes avec des convulsions ? ,A L-epilepsie ,B La narcolepsie ,C L-ostealgie ,b
monde ,,,,c
De combien de musiciens se compose un quartet ? ,A 4 ,B 3 ,C 5 ,a
Parmi ces trois langues laquelle est la plus parlee dans le monde ? ,A Le français ,B L-allemand ,C L-espagnol ,b
Si vous atterrissez a l-aeroport de Schiphol c-est que vous êtes arrives : ,A en Afrique du Sud ,B aux Pays-Bas ,C aux Antilles neerlandaises ,c
Quelle est la capitale de l-Espagne ? ,A Madrid ,B Lisbonne ,C Rome ,a
Dans quel pays payait-on en lires avant l-apparition de l-euro ? ,A En Italie ,B En Espagne ,C En Allemagne ,b
De quel côte d-un bateau se trouve tribord ? ,A a droite ,B a gauche ,C En arriere ,c
De quel pays proviennent les spaghettis a l-origine ? ,A De Chine ,B De Turquie ,C D-Italie ,a
Le TGV (train a grande vitesse) a ete conçu en France et roule a une vitesse moyenne de : ,A 230 km/h ,B 350 km/h ,C 420 km/h ,b
La plus haute montagne d-Europe de l-Ouest est haute d-environ 4 807 metres. Il s-agit du : ,A mont Blanc ,B mont Ventoux ,C Puy-de-Dôme ,c
Comment s-appelle l-organisation qui aide les enfants dans le monde entier ? ,A Unicef ,B Unesco ,C Uno ,a
Comment s-appelle la statuette qui est remise chaque annee a Hollywood pour le meilleur film ? ,A L-Oscar ,B Le Cesar ,C Le Maxime ,b
Quelle planete appelle-t-on egalement la planete rouge ? ,A Mars ,B Venus ,C Saturne ,c
Combien de pays independants englobe le continent oceanien ? ,A Moins de 5 pays ,B Entre 5 et 10 pays ,C Plus de 10 pays ,a
Avec quelle lettre les Romains representaient-ils le chiffre 500 ? ,A D ,B M ,C L ,b
Comment appelle-t-on le changement de nationalite ? ,A La naturalisation ,B L-emigration ,C L-adoption ,c
Dans quel film de Steven Spielberg un extraterrestre veut « telephoner maison » ? ,A E.T. ,B Star Wars ,C Sauvez Willy ,a
monde ,,,,b
Comment s-appellent les premieres peuplades originaires d-Australie ? ,A Les Papous ,B Les Massaïs ,C Les Aborigenes ,c
Les bouddhistes sont les disciples du Bouddha. Cet homme etait en realite : ,A Un pauvre pêcheur ,B Un riche prince ,C Un vieux prêtre malade ,a
Laquelle de ces couleurs n-est pas une couleur primaire mais un melange ? ,A Le vert ,B Le jaune ,C Le rouge ,b
Comment appelle-t-on le dessin imprime sur un billet de banque que l-on peut voir en transparence et qui permet de reperer les faux billets ? ,A Le filigrane ,B Le filograne ,C Le filagrane ,c
La tour de Belem au Portugal comprend 5 etages. Elle n-a jamais servi : ,A de prison ,B de phare ,C d-eglise ,a
Qui etait Neil Armstrong ? ,A Le premier homme a marcher sur la Lune ,B Un joueur de saxophone ,C Un laureat du prix Nobel de la 60,b
 Lequel des nombres suivants represente 100 millions ? ,A 100 000 000 ,B 100 000 000 000 ,C 1 000 000 000 000 ,c
L-Alhambra est un palais situe a Grenade en Espagne. Ce nom vient de l-arabe et signifie : ,A palais de conte de fees ,B château rouge ,C citadelle doree ,a
Lorsqu-un bateau atteint une vitesse de 30 nœuds a quelle vitesse va-t-il ? ,A 60 km/h ,B 30 km/h ,C 15 km/h ,b
Les premieres pommes de terre ont ete cultivees au XVIeme siecle en Europe. D-où viennent-elles a l-origine ? ,A D-Amerique du Sud ,B D-Asie ,C D-Afrique ,c
Dans quelle grande metropole passe le fleuve qui s-appelle la Seine ? ,A Paris ,B New-York ,C Londres ,a
En ecosse de nombreux curieux viennent visiter le Loch Ness car : ,A le comte Dracula aurait habite dans le château pres du lac. ,B un monstre vivrait dans le lac. ,C des fantômes hanteraient le château voisin 72,b
 Dans quel conte de fees n-y a-t-il pas de sorciere ? ,A Le Petit Chaperon rouge ,B Blanche-Neige ,C Hansel et Gretel ,c
La Republique d-Irlande se situe dans la partie sud de l-ile d-Irlande. Sa capitale est : ,A Dublin ,B Belfast ,C Limerick ,a
Le parc national des Everglades en Floride (aux etats-Unis) est celebre pour : ,A ses grottes ,B son lac sale ,C ses terres marecageuses ,b
Comment appelle-t-on un spationaute chinois? ,A Un taïkonaute ,B Un cosmonaute ,C Un astronaute ,c
monde ,,,,a
a Venise les voies d-eau qui parcourent la ville sont des : ,A canaux ,B fosses ,C douves ,b
Qu-est-ce que le recyclage ? ,A La collecte et la reutilisation des dechets ,B Une technique de peinture ,C Le fait d-avancer au pas dans une 89,c
 Quel est le signe astrologique de quelqu-un qui est ne le 27 octobre ? ,A Scorpion ,B Lion ,C Vierge ,a
Quelle est la capitale du Bresil ? ,A Brasilia ,B Rio de Janeiro ,C Sao Paulo ,b
Comment appelle-t-on l-homme qui devait auparavant faire rire le roi ? ,A Le fou ,B Le ministre ,C Le majordome ,c
En Afrique on trouve des chutes d-eau qui portent un prenom feminin. Lequel ? ,A Diana ,B Victoria ,C Alberta ,a
Où se situe le Mexique ? ,A Au niveau du tropique du Cancer ,B Au niveau du tropique du Capricorne ,C Au niveau de l-equateur ,b
a Venise on peut parcourir les canaux sur une gondole. Les gondoles sont peintes en : ,A noir et rouge ,B noir et vert ,C noir ,c
Comment appelle-t-on la boisson obtenue en melangeant differentes autres boissons ? ,A Un cocktail ,B Un cognac ,C Un whisky ,a
L-etude des fossiles porte le nom de : ,A archeologie ,B paleontologie ,C graphologie ,b
La muraille de Chine est la plus longue construction que l-homme ait jamais realisee. Ce mur a une longueur d-environ : ,A 1 500 km ,B 2 500 km ,C 3 200 km ,c
Par quel village anglais passe le meridien 0 ? ,A Greenwich ,B Kent ,C Londres ,a
En Grece on peut manger un fromage blanc typique fait a base de lait de chevre et appele : ,A mozzarella ,B gruyere ,C feta ,b
Quel engin volant a des ailes tournantes ? ,A Un helicoptere ,B Un ULM ,C Un dirigeable ,c
Comment appelle-t-on le peuple qui voyage dans le desert ? ,A Les nomades ,B Les Vikings ,C Les allies ,a
En ecosse beaucoup de noms de famille commencent par « Mac ». Souvent on ecrit que l-abreviation : Mc. Que signifie ce prefixe ? ,A Fils ,B Famille ,C Pere ,b
monde ,,,,c
Comment appelle-t-on le filet dans lequel les poissons peuvent nager mais dont ils peuvent difficilement s-echapper ? ,A La nasse ,B La tasse ,C La natte ,a
Quel autre nom donne-t-on au petrole ? ,A L-or noir ,B Le diamant noir ,C Le rubis noir ,b
Le boomerang est un jeu. Mais a quoi servait le boomerang auparavant ? ,A Comme arme ,B Comme instrument pour les previsions meteo ,C Comme ornement ,c
Si la face d-un de a 4 points est vers le haut combien y a-t-il de points sur la face vers le bas au même moment ? ,A 3 ,B 2 ,C 1 ,a
Quel souverain français est toujours represente avec la main gauche dans sa veste ? ,A Napoleon ,B Pompidou ,C Chirac ,b
Comment s-appelle la region d-Amerique du Sud où domine la grande forêt amazonienne ? ,A L-Amazonie ,B L-Amazone ,C La Transamazonienne ,c
Qu-est-ce qu-un fjord ? ,A Un bras de mer entre de hauts rochers ,B Un bateau a fond plat ,C Une cabane en rondins ,a
Lequel des instruments de musique suivants n-a pas de cordes ? ,A La clarinette ,B Le piano ,C La contrebasse ,b
Alcatraz est une ile rocailleuse appartenant a San Francisco. Jusqu-en 1963 s-y trouvait : ,A une prison ,B un monastere ,C une base de lancement de ,c
L-Allemagne a quelques pays limitrophes. Lequel des pays suivants n-est pas un pays limitrophe de l-Allemagne ? ,A L-Espagne ,B La France ,C La Belgique ,a
Quelle langue est parlee par le plus grand nombre de personnes au monde ? ,A Le chinois ,B L-anglais ,C Le russe ,b
Qui etait William Shakespeare ? ,A Un poete anglais ,B Une vedette americaine de musique pop ,C Un coureur danois de ,c
